id,FIPS,x,y,POP10
622,42073.0,1320578.9407811214,326124.5067999836,2773.0
623,42007.0,1320578.940781121,316124.5067999826,5523.0
624,42007.0,1320578.9407811218,306124.5067999831,6866.0
625,42007.0,1320578.9407811211,296124.5067999835,30366.0
626,42003.0,1320578.9407811214,286124.5067999811,34277.0
627,42003.0,1320578.9407811214,276124.5067999801,10302.0
628,42125.0,1320578.9407811216,266124.50679998053,7785.0
629,42125.0,1320578.9407811211,256124.50679998382,3014.0
630,42125.0,1320578.9407811214,246124.50679997998,8645.0
631,42125.0,1320578.9407811211,236124.50679998184,4008.0
632,42125.0,1320578.9407811216,226124.50679997943,929.0
633,42059.0,1320578.940781121,216124.5067999813,989.0
634,42059.0,1320578.9407811216,206124.5067999803,570.0
635,42059.0,1320578.9407811218,196124.5067999793,636.0
713,36013.0,1329239.1948189652,481124.5067999841,1971.0
714,36013.0,1329239.1948189656,471124.5067999859,1448.0
715,42049.0,1329239.1948189647,461124.50679998775,1441.0
716,42049.0,1329239.1948189656,451124.5067999839,1712.0
717,42049.0,1329239.1948189647,441124.50679998717,4814.0
718,42039.0,1329239.1948189647,431124.5067999862,1718.0
719,42039.0,1329239.1948189654,421124.5067999852,1146.0
720,42039.0,1329239.194818965,411124.50679998565,1388.0
721,42039.0,1329239.1948189663,401124.50679998327,1076.0
722,42121.0,1329239.1948189654,391124.5067999851,1821.0
723,42121.0,1329239.1948189656,381124.5067999827,1986.0
724,42121.0,1329239.1948189652,371124.5067999831,866.0
725,42121.0,1329239.1948189656,361124.50679998496,2220.0
726,42019.0,1329239.1948189656,351124.50679998257,3345.0
727,42019.0,1329239.1948189663,341124.506799983,9407.0
728,42019.0,1329239.1948189647,331124.50679998484,2600.0
729,42019.0,1329239.194818966,321124.50679998245,3692.0
730,42019.0,1329239.1948189654,311124.50679998286,17961.0
731,42003.0,1329239.1948189666,301124.5067999819,30383.0
732,42003.0,1329239.1948189654,291124.5067999823,14578.0
733,42003.0,1329239.194818966,281124.5067999813,38520.0
734,42003.0,1329239.1948189659,271124.50679998175,18487.0
735,42125.0,1329239.1948189656,261124.5067999836,14039.0
736,42125.0,1329239.194818966,251124.5067999812,26818.0
737,42125.0,1329239.194818966,241124.5067999816,25724.0
738,42125.0,1329239.1948189663,231124.50679998205,1637.0
739,42059.0,1329239.1948189652,221124.50679998106,821.0
740,42059.0,1329239.1948189663,211124.5067999815,928.0
741,42059.0,1329239.1948189666,201124.50679997908,506.0
742,,1329239.1948189666,191124.50679998094,67.0
816,,1337899.4488568094,506124.5067999872,0.0
817,,1337899.4488568096,496124.50679998763,5.0
818,36013.0,1337899.4488568092,486124.50679998525,4036.0
819,36013.0,1337899.4488568094,476124.5067999885,567.0
820,36013.0,1337899.4488568099,466124.5067999861,844.0
821,36013.0,1337899.44885681,456124.5067999865,1054.0
822,42049.0,1337899.448856809,446124.50679998554,1933.0
823,42049.0,1337899.4488568096,436124.50679998455,1370.0
824,42039.0,1337899.4488568096,426124.5067999864,1755.0
825,42039.0,1337899.44885681,416124.5067999854,1683.0
826,42121.0,1337899.44885681,406124.50679998443,1387.0
827,42121.0,1337899.4488568103,396124.5067999849,2020.0
828,42121.0,1337899.4488568092,386124.5067999839,11939.0
829,42121.0,1337899.4488568099,376124.5067999843,2073.0
830,42121.0,1337899.4488568099,366124.5067999833,1423.0
831,42019.0,1337899.4488568099,356124.50679998234,1485.0
832,42019.0,1337899.4488568099,346124.5067999842,1506.0
833,42019.0,1337899.4488568094,336124.5067999846,5277.0
834,42019.0,1337899.4488568103,326124.5067999836,18115.0
835,42019.0,1337899.4488568103,316124.5067999826,5850.0
836,42019.0,1337899.4488568096,306124.5067999831,17787.0
837,42003.0,1337899.4488568103,296124.5067999821,35945.0
838,42003.0,1337899.4488568106,286124.5067999811,80121.0
839,42003.0,1337899.4488568108,276124.5067999801,110440.0
840,42003.0,1337899.4488568106,266124.50679998053,82757.0
841,42125.0,1337899.4488568099,256124.50679998097,28420.0
842,42125.0,1337899.4488568106,246124.5067999814,3001.0
843,42125.0,1337899.4488568108,236124.50679998184,2398.0
844,42059.0,1337899.44885681,226124.50679998085,1339.0
845,42059.0,1337899.4488568113,216124.50679997986,10983.0
846,42059.0,1337899.4488568113,206124.50679997887,956.0
847,42059.0,1337899.4488568103,196124.5067999807,611.0
923,,1346559.7028946532,501124.50679998746,2121.0
924,36013.0,1346559.7028946537,491124.50679998787,2016.0
925,36013.0,1346559.7028946541,481124.5067999855,2712.0
926,36013.0,1346559.702894654,471124.5067999859,1459.0
927,36013.0,1346559.702894654,461124.5067999849,1304.0
928,42123.0,1346559.702894654,451124.50679998676,1952.0
929,42049.0,1346559.7028946537,441124.5067999858,7430.0
930,42039.0,1346559.7028946546,431124.5067999862,1351.0
931,42039.0,1346559.7028946532,421124.50679998664,1180.0
932,42039.0,1346559.7028946537,411124.50679998565,7646.0
933,42121.0,1346559.7028946544,401124.50679998467,1028.0
934,42121.0,1346559.7028946546,391124.5067999865,15082.0
935,42121.0,1346559.7028946546,381124.5067999841,2336.0
936,42121.0,1346559.7028946546,371124.50679998455,901.0
937,42121.0,1346559.7028946534,361124.50679998496,1268.0
938,42019.0,1346559.702894654,351124.50679998397,1889.0
939,42019.0,1346559.702894655,341124.506799983,2036.0
940,42019.0,1346559.702894654,331124.50679998484,7701.0
941,42019.0,1346559.702894655,321124.506799981,23363.0
942,42019.0,1346559.7028946544,311124.50679998146,6132.0
943,42003.0,1346559.7028946546,301124.50679998327,22466.0
944,42003.0,1346559.7028946548,291124.5067999823,43204.0
945,42003.0,1346559.7028946548,281124.5067999813,197462.0
946,42003.0,1346559.702894654,271124.50679998175,128980.0
947,42003.0,1346559.7028946546,261124.50679998216,42060.0
948,42125.0,1346559.7028946548,251124.5067999826,4622.0
949,42125.0,1346559.7028946548,241124.5067999788,7115.0
950,42125.0,1346559.7028946546,231124.50679998205,3934.0
951,42059.0,1346559.7028946546,221124.50679997966,3641.0
952,42059.0,1346559.7028946546,211124.50679998007,1098.0
953,42059.0,1346559.7028946546,201124.5067999805,1175.0
1027,,1355219.9569324984,516124.50679998536,0.0
1028,36013.0,1355219.9569324974,506124.50679998583,23188.0
1029,36013.0,1355219.9569324986,496124.50679998763,2845.0
1030,36013.0,1355219.9569324984,486124.50679998525,1107.0
1031,36013.0,1355219.9569324988,476124.50679998426,2215.0
1032,36013.0,1355219.9569324984,466124.5067999875,1681.0
1033,36013.0,1355219.9569324977,456124.5067999865,1041.0
1034,42123.0,1355219.9569324984,446124.50679998554,954.0
1035,42123.0,1355219.9569324981,436124.50679998455,561.0
1036,42123.0,1355219.9569324984,426124.506799985,569.0
1037,42123.0,1355219.9569324981,416124.506799984,737.0
1038,42121.0,1355219.956932498,406124.5067999859,1689.0
1039,42121.0,1355219.956932499,396124.5067999849,1020.0
1040,42121.0,1355219.9569324984,386124.5067999853,2993.0
1041,42121.0,1355219.956932498,376124.5067999829,1225.0
1042,42121.0,1355219.9569324984,366124.5067999833,1974.0
1043,42019.0,1355219.956932499,356124.50679998373,2114.0
1044,42019.0,1355219.9569324986,346124.50679998135,2431.0
1045,42019.0,1355219.9569324986,336124.5067999832,4054.0
1046,42019.0,1355219.9569324984,326124.5067999836,4365.0
1047,42019.0,1355219.956932498,316124.5067999841,9694.0
1048,42019.0,1355219.956932499,306124.5067999831,5571.0
1049,42003.0,1355219.9569324986,296124.5067999821,19858.0
1050,42003.0,1355219.9569324984,286124.5067999825,64611.0
1051,42003.0,1355219.9569324984,276124.5067999801,116665.0
1052,42003.0,1355219.9569324986,266124.506799982,52151.0
1053,42003.0,1355219.956932499,256124.5067999824,14991.0
1054,42125.0,1355219.956932499,246124.50679997998,22243.0
1055,42125.0,1355219.9569324993,236124.50679998184,8358.0
1056,42051.0,1355219.9569324993,226124.50679998225,6938.0
1057,42059.0,1355219.9569324981,216124.5067999813,5121.0
1058,42059.0,1355219.9569324988,206124.5067999803,1969.0
1059,,1355219.956932499,196124.5067999807,427.0
1125,,1363880.2109703422,601124.5067999874,3012.0
1126,,1363880.2109703422,591124.5067999865,7465.0
1127,,1363880.2109703422,581124.5067999868,23020.0
1133,,1363880.2109703433,521124.5067999866,152.0
1134,36013.0,1363880.2109703424,511124.506799987,5721.0
1135,36013.0,1363880.210970342,501124.50679998886,1857.0
1136,36013.0,1363880.2109703426,491124.50679998647,2336.0
1137,36013.0,1363880.2109703429,481124.5067999869,1135.0
1138,36013.0,1363880.2109703426,471124.50679998734,7881.0
1139,36013.0,1363880.2109703424,461124.5067999849,1819.0
1140,42123.0,1363880.2109703429,451124.5067999839,1786.0
1141,42123.0,1363880.2109703422,441124.5067999858,1130.0
1142,42123.0,1363880.2109703429,431124.5067999834,560.0
1143,42123.0,1363880.2109703429,421124.50679998664,1143.0
1144,42053.0,1363880.2109703429,411124.50679998426,369.0
1145,42053.0,1363880.210970343,401124.50679998467,823.0
1146,42121.0,1363880.210970343,391124.5067999851,552.0
