FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
42013,Pennsylvania,Blair County,1475160.903,2078209.205,122687.0,9824,8.38,29.3,71.8,20.56,81.2,7.8,0.3768,Urban
42015,Pennsylvania,Bradford County,1596515.267,2251514.685,60600.0,5021,8.46,34.08,44.8,25.2,100.6,8.2,0.395,Urban
42017,Pennsylvania,Bucks County,1745633.551,2117385.439,627838.4,48767,8.2,26.74,90.4,16.9,84.4,8.8,0.1372,Urban
42019,Pennsylvania,Butler County,1337590.339,2102567.407,187766.2,13181,7.42,29.48,73.0,18.02,65.4,8.6,0.0812,Urban
42021,Pennsylvania,Cambria County,1444689.53,2074193.143,131676.0,11959,9.06,25.8,70.6,21.34,80.6,7.5,0.3326,Urban
42023,Pennsylvania,Cameron County,1467229.207,2185659.851,4507.6,368,7.14,20.42,86.2,16.02,40.2,7.7,0.5506,Rural
42025,Pennsylvania,Carbon County,1682297.897,2170140.233,63987.4,4773,7.4,25.7,73.0,20.12,43.0,8.2,0.2664,Urban
42027,Pennsylvania,Centre County,1509494.377,2134790.064,162162.0,9628,7.62,24.96,84.4,17.08,75.2,8.2,0.3033,Urban
42029,Pennsylvania,Chester County,1701412.133,2065940.824,521879.8,31063,6.86,23.26,83.6,14.64,85.2,8.8,0.1665,Urban
42031,Pennsylvania,Clarion County,1372665.672,2140579.475,38498.6,3015,8.38,27.3,51.8,20.3,46.8,7.8,0.3657,Rural
42033,Pennsylvania,Clearfield County,1454142.899,2133464.921,79507.2,6667,8.5,33.2,53.8,22.58,50.4,7.8,0.5649,Urban
42035,Pennsylvania,Clinton County,1517690.196,2172273.438,38700.8,2682,7.78,29.2,72.2,18.4,44.4,7.7,0.5191,Urban
42037,Pennsylvania,Columbia County,1622394.822,2172315.89,65522.8,5088,8.42,29.78,69.8,23.9,52.6,8.1,0.2209,Urban
42039,Pennsylvania,Crawford County,1307257.316,2185193.456,85161.0,7021,8.62,29.44,66.8,20.46,65.2,8.0,0.5019,Urban
42041,Pennsylvania,Cumberland County,1571533.317,2060710.058,251844.4,19423,8.58,28.1,82.6,18.08,90.4,8.6,0.1961,Urban
42043,Pennsylvania,Dauphin County,1606103.319,2096485.218,276937.4,19426,8.1,31.22,83.6,21.74,108.6,7.5,0.5315,Urban
42045,Pennsylvania,Delaware County,1731682.361,2066067.558,565269.8,39452,8.14,25.98,93.2,18.32,106.2,8.4,0.5477,Urban
42047,Pennsylvania,Elk County,1431155.363,2177641.106,30072.6,2491,7.98,25.52,74.8,19.34,44.0,8.3,0.0656,Rural
42049,Pennsylvania,Erie County,1307535.891,2220156.836,272192.6,18983,7.86,31.82,76.4,21.2,81.2,7.2,0.6464,Urban
42051,Pennsylvania,Fayette County,1378511.3,1996883.489,130415.6,11980,9.32,33.22,58.8,24.84,36.4,7.2,0.577,Urban
