x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-615285,1583795,183.8011017,1452.759521,2,0.150000006,424.7828064,11.67440033,0.352925956,5,46.26200104,5.018488407,2.212914228,2,3.60054562125954
-655285,1213795,143.2931061,1228.638794,2,0.260618567,436.7310486,14.30582428,0.344810605,5,51.21649551,0.933013737,-0.204565436,2,2.76223893546994
-995285,1963795,190.4789276,2268.374756,3,0.200000003,572.3169556,5.624141216,0.69854629,4,47.18181992,16.51601791,6.371850491,4,15.8846468524207
-905285,2163795,150.7962646,2058.692383,4,0.319999993,286.1895142,5.805808067,0.208227158,5,50.08282852,3.495524645,-2.420824289,2,2.72337542902421
-35285,1653795,163.8443451,387.6177979,2,0.328673482,900.9423828,13.20056152,0.682012796,6,83.5357132,2.566380739,-0.281624287,1,13.000340858831
-1065285,2133795,179.995636,2098.405029,4,0.330500007,235.8558655,5.668149948,0.195758671,5,42.47999954,6.018562317,-1.027451396,2,2.36932771528613
-1095285,1923795,178.9831085,2303.629395,3,0.228,461.751709,6.684299946,0.557535827,4,56.42599869,17.47430992,0.262898892,4,8.41765568057611
-645285,2403795,176.1317139,1638.227661,1,0.366600007,628.3261719,5.648250103,0.776529849,4,55.76399994,10.26622009,3.853548765,4,11.2681065662827
-1055285,2363795,181.4317017,2724.860352,5,0.240099996,508.245697,1.618000031,0.421176404,5,59.14799881,14.89257336,4.075010777,2,6.03317946948813
-1055285,1053795,250.9534149,1379.205566,5,0.111199997,273.4129944,16.46405029,0.196675777,5,44.0359993,2.377461195,0.066546023,2,1.85946913107408
-885285,1433795,207.8631287,2198.8479,3,0.235212773,399.4925232,9.156968117,0.352547139,4,49.03404236,5.464219093,0.534090459,4,2.72869877494744
-595285,1853795,138.0097961,1436.309448,2,0.327142864,438.2064514,9.640714645,0.383759439,7,74.94387817,0.993707001,0.013878484,3,5.93998043055444
-1015285,1913795,171.1913452,2478.435791,3,0.229900002,550.4915161,4.992750168,0.656227887,4,57.06800079,17.35102081,5.711493492,4,9.31014298711843
-1105285,1673795,172.0474396,1985.191406,3,0.32593751,380.0273438,8.765417099,0.523849726,7,54.77708435,2.526775122,-3.134041786,3,4.86739234098981
-1115285,1813795,179.9093475,1767.733154,3,0.235833332,352.164093,10.55791664,0.30153349,4,33.04375076,16.92536354,-3.695122719,4,3.59720748682025
-325285,1713795,153.9736633,683.5430908,2,0.319999993,567.1785889,12.53836823,0.41583097,7,83.57894897,1.142326355,0.097406849,3,5.21589940227827
-655285,1143795,158.5331879,1159.262207,2,0.18274194,434.8536682,15.0056448,0.353328586,5,27.23387146,1.381939292,-0.011273645,2,2.83164197067894
-935285,1523795,150.1419067,2081.26123,3,0.352560967,316.0171814,9.099145889,0.2114788,5,54.36951065,6.068042755,-4.074122906,2,4.27436698208474
-715285,1623795,132.8397217,1671.96936,2,0.355858594,359.1755676,11.22909069,0.277134567,6,62.83333206,1.22597909,-0.314097315,1,8.74003445364688
-775285,1413795,156.5862122,1666.687988,2,0.234489799,419.8834839,11.97249985,0.316925883,6,40.56428528,5.461491108,-0.65275228,1,3.3060782435951
-325285,1593795,142.5746918,679.2139282,2,0.308762878,602.0076294,13.18670082,0.470436841,6,61.47525787,3.27509284,1.280047655,1,6.25798857601529
-995285,1063795,203.3251495,1257.117065,3,0.189999998,244.2248535,16.88244629,0.234169841,5,41.04239273,2.761856318,0.181320563,2,1.54153788026187
24715,1693795,172.8687897,340.1023254,2,0.367631584,956.5101318,12.74065781,0.697730899,6,79.16841888,1.341782928,1.239634633,1,11.6361965831415
-475285,1703795,145.3130188,1032.207397,2,0.319999993,465.319397,11.67377567,0.377828211,7,79.65102386,0.892771363,0.120683007,3,4.91650595943156
-915285,1543795,204.6513214,2772.768311,3,0.379090905,616.0030518,4.846414089,0.66326195,4,81.51615906,8.024049759,1.629843235,4,12.4677044731585
-615285,1873795,171.1051941,1505.092407,2,0.364226818,420.2475586,9.288041115,0.361848533,7,75.07525635,1.246261835,0.004780258,3,7.84539821021321
-845285,2493795,201.3614502,1153.943359,2,0.323409081,360.5567322,7.112045288,0.379755378,5,56.86590958,5.857404709,1.087588549,2,8.51145523349157
-1135285,1353795,192.7744598,2132.57959,3,0.231600001,332.0380859,9.219900131,0.217681453,5,47.97100067,3.198203087,-2.623986244,2,3.20565715921226
-735285,1323795,185.99646,1460.075195,2,0.25777778,418.8321228,13.91363621,0.255151033,6,34.70302963,2.673973322,-1.055626512,1,2.22332592873591
-1065285,2323795,120.5694351,2086.639404,4,0.287777781,282.541687,4.896818161,0.282356292,5,51.23232269,7.843794823,-2.376137972,2,4.22243788303012
-1015285,1143795,185.236084,1358.414063,2,0.313300014,284.3987122,15.28614998,0.176512942,5,58.44900131,2.833812952,-0.55710268,2,1.39396848752911
-805285,2073795,185.767868,2198.460205,5,0.318260878,293.6899719,5.045543671,0.32024914,5,38.50217438,1.42744422,0.725193381,2,4.26137596878403
-245285,1673795,155.5966187,592.8925171,2,0.179333329,664.4650269,13.29205513,0.588135958,7,32.97222137,0.952418149,0.45493111,3,5.41989544438977
44715,1793795,184.4024048,296.3933716,2,0.36857143,954.425293,12.45023823,0.750859082,7,79.30635071,3.371665239,3.368828058,3,12.8093958572296
-1165285,2483795,168.6123505,2423.04834,5,0.216199994,859.5509033,0.885500014,0.546603322,4,57.18700027,4.774805069,2.605886698,4,9.3166968150731
-865285,1703795,166.1405029,2307.183594,4,0.150000006,198.4658203,5.675494671,0.279356897,5,34.79999924,0.730953813,-0.215616524,2,0.91248908455975
-715285,1033795,150.7936707,1039.430298,2,0.170000002,325.3518982,16.95100021,0.262420446,5,11.56799984,1.016740441,0.575382888,2,1.18633562714524
-975285,1893795,184.0405579,2091.815186,3,0.251562506,447.7748413,7.941093922,0.56112951,5,52.97603989,13.96292591,-3.392346859,2,4.95078580883348
-355285,1793795,152.7028809,778.8528442,2,0.319999993,574.4354248,11.4890213,0.487592727,7,80.625,1.725090742,0.338858932,3,6.00273111675705
-385285,1783795,164.4354095,838.7406006,2,0.319999993,544.7053833,11.46085835,0.454081982,7,82.07171631,1.577526212,0.283730656,3,5.13698966776477
-835285,2143795,179.1732635,2044.476807,4,0.314999998,279.2951355,5.688374996,0.247328982,5,49.87125015,2.18674159,0.069358401,2,3.92984802997611
-925285,1473795,147.9719086,2473.489014,3,0.243404254,599.1096191,7.729521275,0.520955265,4,53.5893631,12.66327381,2.010621071,4,7.9104672057589
-995285,1313795,129.0987396,1542.061401,5,0.158686861,239.5973206,13.60595989,0.152987182,5,29.46464729,2.848525763,1.567981005,2,2.3258294674863
-875285,2153795,163.9385071,2062.079346,4,0.319999993,298.5280151,5.601099968,0.224997312,5,50.15000153,4.011576176,2.585404158,2,3.30805586103121
-405285,1563795,158.5495911,780.2896118,2,0.247142851,525.6149902,13.43753242,0.423575908,6,41.42337799,2.439610004,0.287952304,1,3.06685548783748
