FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
54031,West Virginia,Hardy County,1462694.697,1908032.105,13758.0,1241,8.98,30.74,55.0,22.36,16.4,7.3,0.2588,Rural
54033,West Virginia,Harrison County,1329015.139,1916161.457,67578.2,7880,12.54,33.88,70.0,24.48,118.6,7.9,0.4195,Urban
54035,West Virginia,Jackson County,1227296.869,1849010.747,28772.6,3018,10.88,37.32,35.4,21.4,33.4,7.7,0.1992,Rural
54037,West Virginia,Jefferson County,1540247.38,1956911.497,56829.8,4201,8.34,29.88,60.2,19.86,56.2,8.8,0.1852,Urban
54039,West Virginia,Kanawha County,1248201.79,1795739.978,180873.0,21387,12.54,37.22,75.4,25.62,135.0,7.4,0.535,Urban
54041,West Virginia,Lewis County,1323938.678,1882650.824,16054.2,1432,9.3,33.68,56.6,27.16,66.2,7.6,0.4863,Rural
54043,West Virginia,Lincoln County,1204390.574,1770898.492,20621.6,2297,11.82,37.0,13.8,29.0,40.8,7.5,0.3905,Urban
54045,West Virginia,Logan County,1221701.597,1734554.266,32587.8,4399,14.24,39.26,40.6,33.22,49.4,7.2,0.6811,Urban
54047,West Virginia,Mcdowell County,1253566.396,1687978.492,18072.0,2163,11.98,36.96,38.4,30.4,29.6,6.5,0.7524,Rural
54049,West Virginia,Marion County,1336346.909,1943122.147,56201.2,5144,10.12,34.94,61.0,25.98,52.8,7.8,0.423,Urban
54051,West Virginia,Marshall County,1294707.942,1976028.343,30880.4,3178,10.2,35.52,67.6,24.5,36.4,7.5,0.141,Urban
54053,West Virginia,Mason County,1198413.316,1837359.461,26639.0,2807,10.92,37.4,40.8,29.8,48.8,7.3,0.2492,Urban
54055,West Virginia,Mercer County,1300125.813,1698264.065,59273.6,6447,11.26,36.18,55.6,28.72,61.2,6.7,0.8218,Urban
54057,West Virginia,Mineral County,1447341.374,1951614.004,27032.6,2789,10.58,32.52,57.8,23.72,31.8,7.7,0.3622,Urban
54059,West Virginia,Mingo County,1206178.921,1720396.176,23786.8,3009,13.56,38.28,51.0,35.16,18.4,6.8,0.6754,Rural
54061,West Virginia,Monongalia County,1350699.787,1959197.776,105700.6,7703,9.98,31.54,84.6,19.64,137.2,7.5,0.4504,Urban
54063,West Virginia,Monroe County,1345865.977,1723197.083,13311.2,1410,10.06,29.86,35.0,22.3,39.2,7.5,0.3593,Rural
54065,West Virginia,Morgan County,1501884.099,1978349.929,17772.4,1804,9.6,31.26,68.2,20.18,50.8,8.2,0.0942,Rural
54067,West Virginia,Nicholas County,1311268.885,1800627.417,24806.4,2316,9.36,34.34,49.0,26.06,91.2,7.7,0.3654,Rural
54069,West Virginia,Ohio County,1294167.135,2002786.432,41779.8,3752,9.24,30.16,86.6,22.46,163.8,7.5,0.4793,Urban
54071,West Virginia,Pendleton County,1427489.357,1864438.437,6989.0,754,9.7,29.92,83.0,23.88,43.0,6.8,0.2432,Rural
54073,West Virginia,Pleasants County,1261607.333,1915191.247,7501.6,569,8.04,24.56,65.6,19.34,15.6,8.3,0.3533,Rural
54075,West Virginia,Pocahontas County,1378205.378,1816237.449,8361.6,803,8.8,25.38,94.2,18.96,43.0,6.2,0.5315,Rural
54077,West Virginia,Preston County,1385413.786,1946823.68,33617.6,3541,11.04,35.66,27.0,25.18,38.8,7.8,0.4405,Urban
54079,West Virginia,Putnam County,1212726.84,1809882.281,56658.6,5122,9.94,35.48,62.8,22.3,106.0,8.5,0.0834,Urban
54081,West Virginia,Raleigh County,1281918.487,1736878.053,74431.6,8702,12.64,37.52,53.4,27.7,84.4,6.6,0.7183,Urban
54083,West Virginia,Randolph County,1381105.214,1867124.342,28739.2,2639,9.38,30.08,82.6,25.3,75.2,7.8,0.4866,Urban
54085,West Virginia,Ritchie County,1273217.53,1895127.718,9684.6,884,8.8,33.02,30.6,22.34,20.6,7.8,0.2377,Rural
54087,West Virginia,Roane County,1257108.312,1839934.89,13870.6,1383,10.02,35.58,43.0,22.02,53.2,6.5,0.5229,Rural
54089,West Virginia,Summers County,1317582.555,1729447.166,12728.4,1198,8.76,32.9,54.4,26.0,32.8,7.1,0.7199,Rural
54091,West Virginia,Taylor County,1356170.287,1926659.922,16809.0,1612,9.98,32.64,63.2,25.64,35.8,8.1,0.3539,Urban
54093,West Virginia,Tucker County,1400892.182,1909096.143,6890.2,684,8.84,26.28,98.8,18.8,46.4,8.2,0.225,Rural
54095,West Virginia,Tyler County,1283161.73,1929358.59,8727.4,785,8.66,30.64,72.8,21.18,43.6,7.9,0.1588,Rural
54097,West Virginia,Upshur County,1348482.639,1875559.148,24388.8,2181,9.64,30.34,62.0,21.66,51.8,7.8,0.6009,Rural
54099,West Virginia,Wayne County,1174285.609,1763155.466,39816.8,5214,13.48,36.36,44.2,29.14,57.2,7.1,0.3635,Urban
54101,West Virginia,Webster County,1339894.375,1828331.821,8295.0,755,8.8,28.6,51.2,23.8,36.0,7.2,0.5439,Rural
54103,West Virginia,Wetzel County,1301405.283,1948184.975,15263.2,1673,10.8,32.2,52.6,21.38,49.6,6.0,0.268,Rural
54105,West Virginia,Wirt County,1249192.815,1873699.746,5791.2,473,8.32,25.14,41.6,20.58,17.2,7.8,0.3606,Urban
54107,West Virginia,Wood County,1234436.881,1892845.955,84281.2,9912,12.34,38.3,69.8,26.28,84.6,7.5,0.3711,Urban
54109,West Virginia,Wyoming County,1258731.0,1714945.02,20855.2,2199,10.74,32.68,49.4,33.5,26.0,7.4,0.4927,Rural
